"Relative Time","Hits"
"00:00","0"
"00:08","0.5"
"00:16","0.5"
"00:24","0"
"00:32","0.5"
"00:40","0"
"00:48","0.125"
"00:56","0"
"01:04","0.125"
"01:12","0"
"01:20","0.125"
"01:28","0.75"
"01:36","0.25"
"01:44","0.5"
"01:52","0.25"
"02:00","0.5"
"02:08","0"
"02:16","0.5"
"02:24","0"
"02:32","0.5"
"02:40","0.25"
"02:48","1"
"02:56","0.75"
"03:04","0"
"03:12","0.75"
"03:20","0"
"03:28","0.75"
"03:36","0"
"03:44","0.75"
"03:52","0"
"04:00","0.75"
"04:08","0"
"04:16","0.25"
"04:24","0.25"
"04:32","0.5"
"04:40","0"
"04:48","1.25"
"04:56","0.75"
"05:04","1"
"05:12","0.125"
"05:20","0.5"
"05:28","0"
"05:36","2"
