"Relative Time","Error -26546:Action.c(79) Error -26546 Authentication required, please use ""web_set_user"", e.g. web_set_user(""domain\\user"", ""password"", ""hostport"");","Error -26546:vuser_end.c(20) Error -26546 Authentication required, please use ""web_set_user"", e.g. web_set_user(""domain\\user"", ""password"", ""hostport"");","Error -26629:Action.c(79) Error -26629 HTTP Status-Code=401 (Unauthorized) for ""https//thinking-tester-contact-list.herokuapp.com/contacts""","Error -26629:vuser_end.c(20) Error -26629 HTTP Status-Code=401 (Unauthorized) for ""https//thinking-tester-contact-list.herokuapp.com/users/logout"""
"00:00","0","0","0","0"
"00:08","0","0","0","0"
"00:16","0","0","0","0"
"00:24","0","0","0","0"
"00:32","0","0","0","0"
"00:40","0","0","0","0"
"00:48","0","0","0","0"
"00:56","0","0","0","0"
"01:04","0","0","0","0"
"01:12","0","0","0","0"
"01:20","0","0","0","0"
"01:28","0","0","0","0"
"01:36","0","0","0","0"
"01:44","0","0","0","0"
"01:52","0","0","0","0"
"02:00","0","0","0","0"
"02:08","0","0","0","0"
"02:16","0","0","0","0"
"02:24","0","0","0","0"
"02:32","0","0","0","0"
"02:40","0","0","0","0"
"02:48","0","0","0","0"
"02:56","0","0","0","0"
"03:04","0","0","0","0"
"03:12","0","0","0","0"
"03:20","0","0","0","0"
"03:28","0","0","0","0"
"03:36","0","0","0","0"
"03:44","0","0","0","0"
"03:52","0","0","0","0"
"04:00","0","0","0","0"
"04:08","0","0","0","0"
"04:16","0","0","0","0"
"04:24","0","0","0","0"
"04:32","0","0","0","0"
"04:40","0","0","0","0"
"04:48","0","0","0","0"
"04:56","0","0","0","0"
"05:04","0","0","0","0"
"05:12","0.125","0","0.125","0"
"05:20","0","0.125","0","0.125"
"05:28","0","0","0","0"
"05:36","0","0.5","0","0.5"
