Virtual User Script started at: 24-02-2024 14:09:22	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 2023.0.0 for Windows 10; build 506 (Mar 08 2023 13:11:40)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36  	[MsgId: MMSG-26988]
Runtime Settings file: "C:\Users\Administrator\AppData\Local\Temp\lr5tmpdirTNp.676\lrcfgEpG.677\cfg2ys.678"  	[MsgId: MMSG-27141]
vuser_init.c(12): web_set_sockets_option started  	[MsgId: MMSG-26355]
vuser_init.c(12): web_set_sockets_option was successful  	[MsgId: MMSG-26392]
vuser_init.c(14): web_add_header("Accept-Language") started  	[MsgId: MMSG-26355]
vuser_init.c(14): web_add_header("Accept-Language") was successful  	[MsgId: MMSG-26392]
vuser_init.c(17): web_reg_find started  	[MsgId: MMSG-26355]
vuser_init.c(17): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
vuser_init.c(21): web_url("thinking-tester-contact-list.herokuapp.com") started  	[MsgId: MMSG-26355]
vuser_init.c(21): Found resource "https://thinking-tester-contact-list.herokuapp.com/css/styles.css" in HTML "https://thinking-tester-contact-list.herokuapp.com/"  	[MsgId: MMSG-26659]
vuser_init.c(21): Found resource "https://thinking-tester-contact-list.herokuapp.com/img/thinkingTesterLogo.png" in HTML "https://thinking-tester-contact-list.herokuapp.com/"  	[MsgId: MMSG-26659]
vuser_init.c(21): Found resource "https://thinking-tester-contact-list.herokuapp.com/js/login.js" in HTML "https://thinking-tester-contact-list.herokuapp.com/"  	[MsgId: MMSG-26659]
vuser_init.c(21): Registered web_reg_find successful for "Text=Contact List" (count=2)  	[MsgId: MMSG-26364]
vuser_init.c(21): web_url("thinking-tester-contact-list.herokuapp.com") was successful, 15841 body bytes, 3219 header bytes  	[MsgId: MMSG-26386]
vuser_init.c(30): lr_think_time: 43.00 seconds.	[MsgId: MMSG-15948]
vuser_init.c(32): web_custom_request("json") started  	[MsgId: MMSG-26355]
vuser_init.c(32): web_custom_request("json") was successful, 950 body bytes, 1088 header bytes  	[MsgId: MMSG-26386]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Warning -27077: The "vuser_init" section contains web function(s) when the "Simulate a new user on each iteration" Runtime Setting is ON.  This may produce unpredictable results with multiple iterations  	[MsgId: MWAR-27077]
Maximum number of concurrent connections per server: 6  	[MsgId: MMSG-26989]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(6): web_add_auto_header("Accept-Language") started  	[MsgId: MMSG-26355]
Action.c(6): web_add_auto_header("Accept-Language") was successful  	[MsgId: MMSG-26392]
Action.c(9): lr_think_time: 39.00 seconds.	[MsgId: MMSG-15948]
Action.c(13): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(13): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(22): web_custom_request("login") started  	[MsgId: MMSG-26355]
Action.c(22): Connection to thinking-tester-contact-list.herokuapp.com:443 closed after being inactive for 82 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="https://thinking-tester-contact-list.herokuapp.com/users/login"  	[MsgId: MMSG-27647]
Action.c(22): web_custom_request("login") was successful, 282 body bytes, 986 header bytes  	[MsgId: MMSG-26386]
Action.c(39): web_url("contactList") started  	[MsgId: MMSG-26355]
Action.c(39): Found resource "https://thinking-tester-contact-list.herokuapp.com/css/styles.css" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(39): Found resource "https://thinking-tester-contact-list.herokuapp.com/img/thinkingTesterLogo.png" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(39): Found resource "https://thinking-tester-contact-list.herokuapp.com/js/contactList.js" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(39): web_url("contactList") was successful, 4709 body bytes, 3201 header bytes  	[MsgId: MMSG-26386]
Action.c(49): web_add_auto_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(49): Warning -26592: The header being added may cause unpredictable results when applied to all ensuing URLs. It is added anyway  	[MsgId: MWAR-26592]
Action.c(49): web_add_auto_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(50): web_custom_request("contacts") started  	[MsgId: MMSG-26355]
Action.c(50): web_custom_request("contacts") was successful, 2215 body bytes, 756 header bytes  	[MsgId: MMSG-26386]
Action.c(64): lr_think_time: 49.00 seconds.	[MsgId: MMSG-15948]
Action.c(66): web_url("addContact") started  	[MsgId: MMSG-26355]
Action.c(66): Found resource "https://thinking-tester-contact-list.herokuapp.com/css/styles.css" in HTML "https://thinking-tester-contact-list.herokuapp.com/addContact"  	[MsgId: MMSG-26659]
Action.c(66): Found resource "https://thinking-tester-contact-list.herokuapp.com/img/thinkingTesterLogo.png" in HTML "https://thinking-tester-contact-list.herokuapp.com/addContact"  	[MsgId: MMSG-26659]
Action.c(66): Found resource "https://thinking-tester-contact-list.herokuapp.com/js/addContact.js" in HTML "https://thinking-tester-contact-list.herokuapp.com/addContact"  	[MsgId: MMSG-26659]
Action.c(66): web_url("addContact") was successful, 4613 body bytes, 3218 header bytes  	[MsgId: MMSG-26386]
Action.c(77): lr_think_time: 29.00 seconds.	[MsgId: MMSG-15948]
Action.c(79): web_custom_request("contacts_2") started  	[MsgId: MMSG-26355]
Action.c(79): web_custom_request("contacts_2") was successful, 139 body bytes, 751 header bytes  	[MsgId: MMSG-26386]
Action.c(91): web_url("contactList_2") started  	[MsgId: MMSG-26355]
Action.c(91): Retrieving data from cache for "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26557]
Action.c(91): Found resource "https://thinking-tester-contact-list.herokuapp.com/css/styles.css" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(91): Found resource "https://thinking-tester-contact-list.herokuapp.com/img/thinkingTesterLogo.png" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(91): Found resource "https://thinking-tester-contact-list.herokuapp.com/js/contactList.js" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(91): web_url("contactList_2") was successful, 0 body bytes, 3091 header bytes  	[MsgId: MMSG-26386]
Action.c(99): web_custom_request("contacts_3") started  	[MsgId: MMSG-26355]
Action.c(99): web_custom_request("contacts_3") was successful, 2635 body bytes, 748 header bytes  	[MsgId: MMSG-26386]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 1.	[MsgId: MMSG-15965]
Starting iteration 2.	[MsgId: MMSG-15968]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(6): web_add_auto_header("Accept-Language") started  	[MsgId: MMSG-26355]
Action.c(6): web_add_auto_header("Accept-Language") was successful  	[MsgId: MMSG-26392]
Action.c(9): lr_think_time: 39.00 seconds.	[MsgId: MMSG-15948]
Action.c(13): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(13): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(22): web_custom_request("login") started  	[MsgId: MMSG-26355]
Action.c(22): web_custom_request("login") was successful, 282 body bytes, 982 header bytes  	[MsgId: MMSG-26386]
Action.c(39): web_url("contactList") started  	[MsgId: MMSG-26355]
Action.c(39): Found resource "https://thinking-tester-contact-list.herokuapp.com/css/styles.css" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(39): Found resource "https://thinking-tester-contact-list.herokuapp.com/img/thinkingTesterLogo.png" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(39): Found resource "https://thinking-tester-contact-list.herokuapp.com/js/contactList.js" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(39): web_url("contactList") was successful, 18340 body bytes, 3259 header bytes  	[MsgId: MMSG-26386]
Action.c(49): web_add_auto_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(49): Warning -26592: The header being added may cause unpredictable results when applied to all ensuing URLs. It is added anyway  	[MsgId: MWAR-26592]
Action.c(49): web_add_auto_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(50): web_custom_request("contacts") started  	[MsgId: MMSG-26355]
Action.c(50): web_custom_request("contacts") was successful, 2635 body bytes, 760 header bytes  	[MsgId: MMSG-26386]
Action.c(64): lr_think_time: 49.00 seconds.	[MsgId: MMSG-15948]
